C_ID,COMPANY
1,Paramount Pictures
2,Chartoff-Winkler Productions
3,The Malpaso Company
4,PolyGram Filmed Entertainment
5,Walt Disney Productions
6,Golden Harvest Company
7,HandMade Films
8,Morison Film Group
9,Les Films du Losange
10,Brooksfilms
11,Astral Bellevue Pathé
12,International Cinema Corporation (ICC)
13,Artista Management
14,Anabasis N.V.
15,Cambridge Productions
16,Innovisions
17,Incorporated Television Company (ITC)
18,The Romantic Venture
19,Regina Ziegler Filmproduktion
20,Amblin Entertainment
21,Lucille Ball Productions
22,Rai 2
23,Englander Productions
24,New Line Cinema
25,Hemdale
26,Films A2
27,SLM Production Group
28,Delphi III Productions
29,Greenwich Film Productions
30,Engelberg-Sumner-Cheikes
31,Black Rhino Productions
32,Cinema Vehicle Services
33,Jaffe-Lansing
34,Angeles Cinema Investors
35,Producers Sales Organization (PSO)
36,Night Life Inc.
37,Bountiful Film Partners
38,Interscope Communications
39,Crystalite Productions
40,Lantana Productions
41,Blackhawk Productions
42,Cannon Pictures
43,CFS Avala Film
44,The Mount Company (II)
45,The Saul Zaentz Company
46,Svenska Filminstitutet (SFI)
47,Delphi V Productions
48,Ministère de la Culture et de la Communication
49,Corporation Image M & M
50,Applied Action
51,Vista Organization
52,Pelemele Film
53,Excelsior Film-TV
54,Magnus Films
55,American Entertainment Partners II L.P.
56,Tokuma Japan Communications
57,Front Films
58,Spacegate Productions
59,Ixtlan
60,Ferndale Films
61,The Zanuck Company
62,Carolco Entertainment
63,Renaissance Films
64,JVC Entertainment Networks
65,First Millenium Partnership
66,Aaron Russo Entertainment
67,Levins-Henenlotter
68,Disney Television Animation
69,Fourth Protocol
70,All Girl Productions
71,United British Artists (UBA)
72,TMS Entertainment
73,Icon Productions
74,Chestnut Hill Productions
75,Belbo Films
76,Cinephile
77,Bill Graham Films
78,Stone Group Pictures
79,Sidéral Productions
80,Davis-Panzer Productions
81,Cheap Date
82,Black River Productions
83,Bronze Eye Productions
84,Island World
85,Robert Simonds Productions
86,Image Organization
87,Largo International N.V.
88,Gallery Films
89,Dino de Laurentiis Communications
90,Cinemabrain
91,Zeta Entertainment
92,Majestic Films International
93,Mirage Entertainment
94,Hell's Kitchen Films
95,Polygram Filmed Entertainment
96,Icon Entertainment International
97,Alpilles Productions
98,Film Workshop
99,The Mark Gordon Company
100,View Askew Productions
101,British Screen Finance Ltd.
102,Ultra Muchos Productions
103,Buckeye Films
104,Lightning Ridge
105,Halloween VI Productions
106,Sandollar Productions
107,Lancaster Gate
108,Green Parrot
109,Mundy Lane Entertainment
110,Independent Pictures (II)
111,Mindy Affrime
112,Atman Entertainment
113,Appledown Films Inc.
114,October Films
115,Melampo Cinematografica
116,Cinema Line Film Corporation
117,Dreamworks Pictures
118,Q Productions
119,Daiei Studios
120,Def Pictures
121,Clinica Estetico
122,Daybreak
123,Lakeshore Entertainment
124,Tomboy Films
125,Award Entertainment
126,391 Productions
127,Harpo Films
128,Artisan Entertainment
129,Arts Council of England
130,Village Roadshow Pictures
131,Tribeca Productions
132,Studio Hamburg Filmproduktion
133,Flying Heart Films
134,Santa Monica Holdings
135,Saturn Films
136,Gullane Pictures
137,Punch 21 Productions
138,Cloud Ten Pictures
139,Portman Entertainment Group
140,Myung Film Company Ltd.
141,Green/Renzi
142,Film Kraft
143,Capcom Entertainment
144,Alliance Atlantis Communications
145,Lions Gate Films
146,ShadowCatcher Entertainment
147,Blue Streak Films
148,Haxan Films
149,Dogstar Films
150,Hart Sharp Entertainment
151,Monogatari
152,DiNovi Pictures
153,USA Films
154,Lee Daniels Entertainment
155,Téléma
156,Konrad Pictures
157,MBP (Germany)
158,Abandon Pictures
159,Beverly Detroit
160,Fuzzy Bunny Films (I)
161,Muse Productions
162,Cheyenne Enterprises
163,Bac Films
164,The State Hermitage Museum
165,Bórd Scannán na hÉireann
166,Det Danske Filminstitut
167,Wiseau-Films
168,Cobalt Media Group
169,Café Film
170,BenderSpink
171,Red Carpet Productions
172,Pop Pop Productions
173,Beijing New Picture Film
174,Ashutosh Gowariker Productions
175,Vega Film
176,Dash Films
177,Movision
178,Shangri-La Entertainment
179,Celador Films
180,Rent Productions LLC
181,Allan Zeman Productions
182,Left Turn Films
183,Sixteen Films
184,TS Productions
185,Film Science
186,Forensic Films
187,Night and Day Pictures
188,HanWay Films
189,Pathé
190,Stage 6 Films
191,Rifkin-Eberts
192,Comme des Cinémas
193,Filmax International
194,Big City Pictures
195,G-BASE
196,Wayfare Entertainment
197,Rogue
198,26 Films
199,De Line Pictures
200,Haut et Court
201,Universal Pictures International (UPI)
202,Protagonist Pictures
203,Bad Robot
204,Ruby Films
205,Sidus FNH-Benex Cinema Fund 1
206,Herrick Entertainment
207,Company Films
208,Quad Productions
209,Asghar Farhadi Productions
210,SBS Productions
211,Paper Street Films
212,Goldcrest Pictures
213,Indigo Film
214,Big Beach Films
215,NVSH Productions
216,Atlas Productions
217,Double Feature Films
218,Zentropa International Norway
219,Truth Entertainment (II)
220,Film 44
221,United Channel Movies
222,Animal Kingdom
223,Two Ton Films
224,Dune Entertainment
225,Canyon Creek Films
