D_ID,DIRECTOR
1,Stanley Kubrick
2,Buddy Van Horn
3,Brian De Palma
4,James Bridges
5,Clint Eastwood
6,Gilbert Cates
7,Michael Mann
8,Art Linson
9,Moustapha Akkad
10,Charles Jarrott
11,Sam Raimi
12,Mel Brooks
13,Glenn Jordan
14,Allan King
15,Amy Heckerling
16,Nicholas Meyer
17,Michael Ritchie
18,Gordon Willis
19,John Derek
20,Louis Malle
21,Wes Craven
22,Richard Marquand
23,Ken Shapiro
24,Taylor Hackford
25,Barry Levinson
26,Mark Rosman
27,Albert Brooks
28,Graeme Clifford
29,David S. Ward
30,Richard Benjamin
31,Arthur Hiller
32,Tony Richardson
33,Daniel Vigne
34,James Burrows
35,Peter Duffell
36,Terry Jones
37,James Sbardellati
38,Rafal Zielinski
39,Paul Nicholas
40,Nicolas Roeg
41,Antonio Margheriti
42,Bryan Forbes
43,Dick Richards
44,Richard Pryor
45,Paul Aaron
46,Robert Zemeckis
47,Fritz Kiersch
48,Frank Oz
49,John Byrum
50,Robert Boris
51,Peter Webb
52,Bertrand Tavernier
53,Adam Brooks
54,Daniel Attias
55,Cary Medoway
56,Linda Feferman
57,Barbra Streisand
58,Frank Zuniga
59,James Foley
60,Jonathan Lynn
61,Savage Steve Holland
62,Stanley Donen
63,James Komack
64,Steven Hahn
65,Freddie Francis
66,Bernard Deyriès
67,Jovan Acin
68,Stephen Gyllenhaal
69,Ettore Scola
70,Sig Shore
71,Caroline Huppert
72,Peter Faiman
73,Harry Winer
74,John Carl Buechler
75,Anthony Perkins
76,Roman Polanski
77,Paul Michael Glaser
78,Richard Wenk
79,Christopher Morahan
80,Paul Schneider
81,Zoran Perisic
82,Eliseo Subiela
83,Allan Burns
84,Michael Gottlieb
85,Steve De Jarnatt
86,Percy Adlon
87,Élie Chouraqui
88,Tamar Simon Hoffs
89,Bob Giraldi
90,Ben Bolt
91,Abel Ferrara
92,Bill Condon
93,Yurek Bogayevicz
94,Zalman King
95,Ken Annakin
96,Craig R. Baxley
97,Mick Garris
98,Ken Kwapis
99,Henry Winkler
100,Mark DiSalle
101,Gus Van Sant
102,Kenneth Branagh
103,Rob Hedden
104,Michael Caton-Jones
105,John Dahl
106,Will Mackenzie
107,Nancy Savoca
108,Joel Zwick
109,Sheldon Lettich
110,Howard Franklin
111,Anthony Minghella
112,Dario Argento
113,Nikita Mikhalkov
114,Jay Levey
115,Phillip Noyce
116,Dominique Othenin-Girard
117,Patrick Sheane Duncan
118,Michael Fischa
119,Ralph S. Singleton
120,Allan Moyle
121,Jon Amiel
122,Phil Nibbelink
123,David Kellogg
124,Michael Karbelnikoff
125,Peter Chelsom
126,George Jackson
127,Irwin Winkler
128,Michael Bortman
129,Penelope Spheeris
130,Kenny Ortega
131,Manny Coto
132,Alexandre Rockwell
133,Arnaud Desplechin
134,Shin'ya Tsukamoto
135,John Woo
136,Rob Bowman
137,Thomas Carter
138,Jean-Marie Poiré
139,Nicholas Kazan
140,Bruce Joel Rubin
141,Kirk Wong
142,Billy Weber
143,Rupert Wainwright
144,Chia-Liang Liu
145,Andrew Morahan
146,Iain Softley
147,Geoff Burton
148,Kelly Reichardt
149,John Lasseter
150,Bryan Spicer
151,Danny Cannon
152,Simon Wells
153,Kelly Makin
154,Christopher Monger
155,Tim Sullivan
156,Carlo Carlei
157,Desmond Nakano
158,Theodoros Angelopoulos
159,Bobby Farrelly
160,Jonathan Frakes
161,Doug Liman
162,Gilbert Adler
163,Rick Friedberg
164,Arlene Sanford
165,Tim Pope
166,Larry Bishop
167,Alexander Payne
168,Farhad Mann
169,John R. Leonetti
170,Mimi Leder
171,Ole Bornedal
172,John Nicolella
173,Paul Miller
174,Thomas Jahn
175,Mark Waters
176,Randall Wallace
177,Peter Howitt
178,Frederik Du Chau
179,Mark Steven Johnson
180,Dean Parisot
181,Gil Junger
182,Mike Judge
183,Roger Michell
184,Roger Kumble
185,Daniel Myrick
186,Chris Buck
187,Brad Bird
188,Michael Patrick Jann
189,Jamie Babbit
190,Tim Roth
191,Gary Sinyor
192,Michael Rymer
193,Hampton Fancher
194,Frank Whaley
195,Robert Lee King
196,Nigel Cole
197,Greg Berlanti
