M_ID,NAME
1,Raging Bull
2,The Gods Must Be Crazy
3,9 to 5
4,Xanadu
5,Prom Night
6,Motel Hell
7,Hangar 18
8,The Fiendish Plot of Dr. Fu Manchu
9,Wholly Moses!
10,"Bon Voyage, Charlie Brown (and Don't Come Back!!)"
11,The Last Flight of Noah's Ark
12,Dressed to Kill
13,The Boogey Man
14,Melvin and Howard
15,Honeysuckle Rose
16,La Cage aux Folles II
17,Mantis Fist Fighter
18,Porky's
19,Excalibur
20,The Funhouse
21,Fort Apache the Bronx
22,Bustin' Loose
23,Raggedy Man
24,Tootsie
25,The Secret of NIMH
26,Diner
27,The Octagon
28,The Gong Show Movie
29,True Confessions
30,Quartet
31,Zoot Suit
32,Heartbeeps
33,The Devil and Max Devlin
34,The Thing
35,Annie
36,Fanny and Alexander
37,Firefox
38,The Dark Crystal
39,Young Doctors in Love
40,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean"
41,Vice Squad
42,The State of Things
43,Experience Preferred... But Not Essential
44,Risky Business
45,Flashdance
46,Spring Break
47,Octopussy
48,Breathless
49,Yentl
50,Fire and Ice
51,Uncommon Valor
52,Doctor Detroit
53,Stroker Ace
54,Spacehunter: Adventures in the Forbidden Zone
55,Hercules
56,Educating Rita
57,Under Fire
58,To Be or Not to Be
59,The Star Chamber
60,The Dresser
61,"Man, Woman and Child"
62,Last Plane Out
63,Forever Young
64,Ghostbusters
65,Body Double
66,1984
67,Hardbodies
68,Against All Odds
69,Runaway
70,The Killing Fields
71,The Pope of Greenwich Village
72,Where the Boys Are
73,Tightrope
74,No Small Affair
75,Full Moon in Paris
76,Fright Night
77,Explorers
78,Fool for Love
79,The Sender
80,Never Say Never Again
81,Local Hero
82,The Meaning of Life
83,Screwballs
84,Running Brave
85,The Golden Seal
86,Dune
87,Dreamscape
88,The Philadelphia Experiment
89,Razorback
90,The Little Drummer Girl
91,Mrs. Soffel
92,Purple Hearts
93,Give My Regards to Broad Street
94,The Bear
95,Weekend Pass
96,Blame It on the Night
97,The Goonies
98,Commando
99,Rocky IV
100,Summer Rental
101,Desperately Seeking Susan
102,Police Story
103,White Nights
104,Kiss of the Spider Woman
105,My Beautiful Laundrette
106,Porky's Revenge
107,Prizzi's Honor
108,Seven Minutes in Heaven
109,Revolution
110,Crimewave
111,Brewster's Millions
112,The Trip to Bountiful
113,Sylvester
114,Echo Park
115,O.C. and Stiggs
116,Fever Pitch
117,Head Office
118,Dreamchild
119,Compromising Positions
