S_ID,STAR
1,Clint Eastwood
2,Donald Sutherland
3,Michael Caine
4,Adrienne Barbeau
5,Tony Danza
6,Jean Martin
7,Kurt Russell
8,Albert Brooks
9,Brooke Shields
10,Kirk Douglas
11,Jill Clayburgh
12,John Ritter
13,Paul Michael Glaser
14,Mel Brooks
15,Jeff Bridges
16,Craig Wasson
17,Kristy McNichol
18,Richard Pryor
19,Richard Dreyfuss
20,Vera Alentova
21,Ringo Starr
22,Leif Garrett
23,Henry Winkler
24,Sally Field
25,Bob Geldof
26,Barry Bostwick
27,James Olson
28,Ronny Cox
29,Michael Ironside
30,Robert Urich
31,Ken Marshall
32,Nicolas Cage
33,James Woods
34,Anthony Perkins
35,Burt Lancaster
36,Barbra Streisand
37,Mary Beth McDonough
38,Lou Ferrigno
39,Christopher Atkins
40,Jane Alexander
41,Pia Zadora
42,Ernest Borgnine
43,Heather Langenkamp
44,Kevin Bacon
45,Harry Dean Stanton
46,Grant Cramer
47,Sam Waterston
48,Joe Morton
49,Pascale Ogier
50,Don Ameche
51,John Cusack
52,Paul Reubens
53,Lori Cardille
54,Bruno Lawrence
55,Stan Ivar
56,Kurt McKinney
57,Ken Ogata
58,Christopher Walken
59,Tony Roberts
60,Paul McCartney
61,Sean Astin
62,Chris Sarandon
63,John Murray
64,Margarita Lozano
65,Norma Aleandro
66,Georgia Engel
67,Susan Dey
68,Kader Boukhanef
69,Thom Mathews
70,Jean-Hugues Anglade
71,Jason Lively
72,John Lithgow
73,Dirk Benedict
74,Whoopi Goldberg
75,Linda Carol
76,Michael Schoeffling
77,Blythe Danner
78,Wayne Crawford
79,Andrew Robinson
80,Patrick Dempsey
81,John Lone
82,Anthony Newley
83,Madonna
84,Linnea Quigley
85,Anjelica Huston
86,Bill Paxton
87,Sergio Rubini
88,Darren Robinson
89,Willem Dafoe
90,Jean-Marc Barr
91,Doug Bradley
92,George Dzundza
93,Scott Grimes
94,Eric Bogosian
95,Keanu Reeves
96,Kenneth Branagh
97,Kirk Cameron
98,Holly Hunter
99,Michael Chiklis
100,Jesse Birdsall
101,Jonathan Emerson
102,Liam Neeson
103,Alex Vincent
104,Michael Oliver
105,Gary Kemp
106,Richard Alexander
107,Patrick Bergin
108,Helena Bonham Carter
109,Brian Kerwin
110,Christian Bale
111,Dexter Fletcher
112,Dorota Segda
